status,funding_rounds,funding_total_usd,milestones,relationships,age,success_status,success_binary
operating,2.0,2506000.0,,2.0,31.0,0,0
operating,1.0,6000000.0,,1.0,8.0,0,0
acquired,,,2.0,6.0,17.0,1,1
operating,1.0,2825000.0,,3.0,7.0,0,0
operating,,,,,7.0,0,0
operating,1.0,200000.0,,2.0,5.0,0,0
operating,1.0,249990.0,,3.0,6.0,0,0
operating,1.0,500000.0,,1.0,6.0,0,0
operating,,,,,9.0,0,0
operating,1.0,100000.0,,,1.98,0,0
operating,,,1.0,1.0,5.58,0,0
operating,1.0,400469.0,,7.0,9.0,0,0
acquired,2.0,21750000.0,2.0,8.0,10.0,1,1
acquired,,,2.0,5.0,8.0,1,1
