status,funding_rounds,funding_total_usd,milestones,relationships,age,success_status,success_binary
operating,1.0,1000000.0,,6.0,6.26,0,0
acquired,,,1.0,1.0,17.0,1,1
operating,1.0,3900000.0,,,20.0,0,0
operating,3.0,15260000.0,3.0,19.0,9.0,0,0
operating,,,,,27.0,0,0
operating,,,1.0,1.0,7.0,0,0
operating,,,1.0,1.0,7.29,0,0
operating,,,1.0,1.0,10.0,0,0
operating,,,,1.0,3.29,0,0
operating,,,1.0,,19.0,0,0
operating,1.0,6000000.0,2.0,10.0,14.0,0,0
operating,,,,3.0,13.0,0,0
acquired,1.0,2400000.0,2.0,63.0,25.0,1,1
acquired,1.0,75000000.0,,4.0,16.0,1,1
operating,5.0,30260000.0,1.0,9.0,8.33,0,0
acquired,1.0,130000.0,,3.0,11.0,1,1
acquired,,,1.0,5.0,7.0,1,1
operating,,,,,7.0,0,0
operating,,,,,7.0,0,0
operating,,,,1.0,9.0,0,0
operating,,,,,7.33,0,0
operating,2.0,14000000.0,2.0,2.0,10.0,0,0
operating,,,4.0,92.0,29.54,0,0
operating,,,,,3.96,0,0
operating,,,,1.0,7.0,0,0
operating,,,1.0,2.0,24.0,0,0
operating,4.0,49550000.0,2.0,17.0,15.0,0,0
operating,,,1.0,1.0,6.0,0,0
operating,,,,1.0,7.0,0,0
operating,,,,1.0,14.0,0,0
operating,,,4.0,55.0,46.0,0,0
operating,1.0,,2.0,4.0,3.42,0,0
operating,3.0,6500000.0,3.0,8.0,3.42,0,0
operating,1.0,3100000.0,2.0,18.0,6.1,0,0
operating,,,,,30.0,0,0
operating,,,,,22.0,0,0
operating,1.0,3000000.0,,5.0,16.0,0,0
operating,,,,2.0,19.08,0,0
acquired,,,,2.0,12.0,1,1
operating,,,,,26.0,0,0
acquired,,,,1.0,7.0,1,1
operating,1.0,19000000.0,2.0,6.0,15.0,0,0
operating,,,,1.0,3.52,0,0
operating,,,,6.0,10.0,0,0
closed,1.0,100000.0,,,4.88,0,0
closed,,,,,0.0,0,0
operating,,,1.0,1.0,10.12,0,0
operating,1.0,3200000.0,,,7.0,0,0
operating,,,,1.0,7.0,0,0
operating,,,,,6.84,0,0
operating,,,,2.0,10.33,0,0
operating,1.0,1500000.0,1.0,2.0,3.5,0,0
operating,,,,2.0,8.0,0,0
operating,,,,1.0,7.5,0,0
operating,4.0,22500000.0,,6.0,11.0,0,0
operating,,,,4.0,7.0,0,0
operating,5.0,27500000.0,,,13.0,0,0
operating,,,1.0,2.0,7.0,0,0
acquired,1.0,8000000.0,2.0,3.0,18.0,1,1
operating,,,,1.0,11.0,0,0
operating,,,,1.0,17.58,0,0
operating,,,,4.0,8.0,0,0
operating,,,,,5.0,0,0
operating,,,,,9.95,0,0
acquired,,,,10.0,9.42,1,1
ipo,,,4.0,23.0,18.83,1,1
operating,,,,,16.0,0,0
operating,,,,1.0,16.25,0,0
operating,6.0,43500000.0,2.0,22.0,8.58,0,0
operating,3.0,450000.0,3.0,10.0,3.42,0,0
operating,,,,,10.33,0,0
acquired,,,1.0,8.0,21.0,1,1
operating,,,,2.0,8.58,0,0
operating,,,,5.0,6.25,0,0
operating,,,,4.0,3.56,0,0
operating,1.0,,,,4.12,0,0
operating,,,,,7.0,0,0
operating,2.0,1950000.0,,7.0,8.25,0,0
operating,4.0,26999989.0,1.0,12.0,12.0,0,0
operating,,,1.0,2.0,20.33,0,0
operating,7.0,585774337.0,3.0,12.0,16.0,0,0
operating,2.0,3900000.0,1.0,7.0,7.05,0,0
ipo,,,3.0,17.0,7.0,1,1
operating,,,2.0,2.0,3.73,0,0
operating,,,,,6.12,0,0
operating,9.0,86708653.0,,22.0,18.12,0,0
closed,1.0,8000000.0,,2.0,2.33,0,0
operating,,,1.0,,7.0,0,0
acquired,1.0,1300000.0,2.0,4.0,4.0,1,1
acquired,2.0,52800000.0,3.0,6.0,18.0,1,1
operating,,,,2.0,7.0,0,0
operating,,,,1.0,9.0,0,0
acquired,,,,,7.0,1,1
operating,,,,1.0,6.4,0,0
acquired,,,3.0,2.0,6.16,1,1
acquired,,,1.0,1.0,32.0,1,1
operating,,,1.0,1.0,3.0,0,0
operating,1.0,55000000.0,,,7.0,0,0
operating,,,,,14.0,0,0
operating,5.0,19350001.0,2.0,12.0,7.16,0,0
operating,,,,2.0,7.07,0,0
operating,,,1.0,,7.0,0,0
operating,2.0,831931.0,1.0,4.0,4.75,0,0
operating,1.0,500000.0,1.0,1.0,9.33,0,0
operating,4.0,23519998.0,2.0,15.0,8.0,0,0
operating,1.0,,,,19.0,0,0
operating,1.0,2500000.0,1.0,2.0,12.0,0,0
operating,1.0,350000.0,,1.0,7.5,0,0
operating,,,1.0,2.0,5.0,0,0
operating,,,1.0,1.0,11.0,0,0
operating,1.0,30000000.0,1.0,4.0,21.0,0,0
acquired,,,2.0,5.0,3.75,1,1
operating,,,1.0,2.0,2.34,0,0
operating,,,,,4.84,0,0
operating,,,,2.0,3.42,0,0
operating,,,1.0,2.0,3.5,0,0
operating,7.0,67872327.0,,,15.0,0,0
operating,4.0,41500000.0,1.0,18.0,15.0,0,0
acquired,4.0,68400000.0,,6.0,15.0,1,1
operating,,,1.0,7.0,7.0,0,0
operating,,,,1.0,23.0,0,0
operating,,,1.0,16.0,16.0,0,0
operating,2.0,100000.0,1.0,9.0,3.25,0,0
operating,1.0,5700000.0,2.0,2.0,4.62,0,0
operating,,,,,3.59,0,0
operating,6.0,40806300.0,2.0,17.0,7.5,0,0
acquired,,,1.0,2.0,3.36,1,1
operating,,,,,7.0,0,0
operating,,,1.0,1.0,8.0,0,0
operating,,,1.0,5.0,9.0,0,0
operating,,,,1.0,7.91,0,0
operating,2.0,19250000.0,,3.0,4.0,0,0
operating,3.0,10949999.0,1.0,3.0,4.0,0,0
operating,1.0,450000.0,1.0,1.0,7.0,0,0
operating,,,,5.0,11.0,0,0
operating,,,1.0,4.0,8.33,0,0
operating,,,,1.0,20.0,0,0
operating,1.0,350000.0,,1.0,5.14,0,0
operating,,,1.0,2.0,6.91,0,0
operating,2.0,19000000.0,2.0,16.0,8.0,0,0
operating,,,,3.0,7.0,0,0
operating,1.0,50000.0,1.0,3.0,6.33,0,0
operating,2.0,8000000.0,1.0,4.0,9.0,0,0
acquired,,,,,7.0,1,1
operating,,,1.0,4.0,4.48,0,0
operating,,,,7.0,6.35,0,0
operating,,,,2.0,7.0,0,0
operating,2.0,7000000.0,2.0,3.0,7.0,0,0
operating,,,,1.0,14.0,0,0
operating,,,,2.0,25.0,0,0
operating,1.0,2000000.0,2.0,8.0,7.42,0,0
operating,2.0,70000.0,1.0,3.0,4.1,0,0
operating,,,1.0,6.0,7.0,0,0
operating,1.0,1500000.0,1.0,5.0,3.0,0,0
operating,5.0,14500000.0,2.0,3.0,9.18,0,0
operating,,,1.0,2.0,3.75,0,0
operating,,,2.0,1.0,4.42,0,0
operating,,,1.0,1.0,3.5,0,0
operating,,,1.0,,3.3,0,0
operating,,,2.0,5.0,7.0,0,0
acquired,,,2.0,3.0,4.0,1,1
operating,,,2.0,5.0,6.53,0,0
closed,2.0,6922000.0,,2.0,13.33,0,0
operating,3.0,69476000.0,1.0,4.0,5.0,0,0
operating,,,,3.0,7.0,0,0
operating,2.0,920000.0,3.0,13.0,7.75,0,0
acquired,2.0,7500000.0,3.0,4.0,10.0,1,1
operating,,,,12.0,16.0,0,0
operating,,,1.0,3.0,7.0,0,0
operating,1.0,600000.0,,3.0,7.75,0,0
operating,,,,,7.0,0,0
closed,2.0,4000000.0,2.0,7.0,3.12,0,0
operating,,,,1.0,7.0,0,0
operating,,,,2.0,7.0,0,0
acquired,4.0,34700000.0,1.0,17.0,10.0,1,1
acquired,,,,1.0,7.0,1,1
operating,5.0,83403542.0,1.0,6.0,4.0,0,0
operating,,,2.0,3.0,15.0,0,0
operating,,,1.0,4.0,3.97,0,0
operating,3.0,30240000.0,2.0,11.0,14.0,0,0
operating,1.0,250000.0,2.0,,3.58,0,0
operating,,,1.0,1.0,3.67,0,0
operating,,,1.0,5.0,3.33,0,0
operating,,,,3.0,9.0,0,0
operating,,,,8.0,8.0,0,0
operating,,,1.0,3.0,17.16,0,0
operating,1.0,,2.0,4.0,7.0,0,0
operating,,,,,7.5,0,0
operating,,,,,11.0,0,0
operating,,,1.0,2.0,4.33,0,0
operating,,,,3.0,10.58,0,0
operating,,,1.0,3.0,6.75,0,0
operating,,,1.0,1.0,7.0,0,0
operating,,,1.0,1.0,9.0,0,0
operating,,,1.0,6.0,7.0,0,0
operating,1.0,300000.0,,3.0,4.5,0,0
operating,1.0,650000.0,1.0,1.0,3.33,0,0
operating,1.0,2000000.0,3.0,12.0,7.33,0,0
operating,,,1.0,2.0,7.0,0,0
operating,,,,,7.0,0,0
operating,,,,1.0,7.0,0,0
operating,1.0,25000000.0,,5.0,6.0,0,0
operating,2.0,2873000.0,1.0,2.0,7.0,0,0
operating,,,1.0,10.0,21.0,0,0
operating,1.0,150000000.0,,,7.0,0,0
operating,1.0,200000.0,,1.0,7.0,0,0
acquired,,,,1.0,7.0,1,1
operating,,,1.0,,7.0,0,0
operating,1.0,3999006.0,1.0,3.0,7.0,0,0
operating,,,,,3.33,0,0
operating,,,,3.0,7.0,0,0
operating,5.0,40000000.0,3.0,24.0,8.0,0,0
operating,,,1.0,4.0,5.75,0,0
operating,,,,2.0,7.0,0,0
operating,,,,2.0,7.0,0,0
operating,,,3.0,4.0,9.12,0,0
operating,2.0,695000.0,2.0,3.0,3.0,0,0
operating,,,,2.0,6.67,0,0
operating,,,2.0,7.0,15.83,0,0
operating,,,4.0,13.0,7.0,0,0
operating,,,,,9.83,0,0
operating,,,1.0,1.0,3.58,0,0
operating,,,,,10.14,0,0
operating,4.0,311453228.0,2.0,5.0,6.0,0,0
operating,2.0,150000.0,1.0,3.0,3.58,0,0
operating,1.0,2500000.0,1.0,,20.0,0,0
operating,1.0,15000.0,,4.0,6.41,0,0
acquired,,,2.0,23.0,17.0,1,1
operating,,,1.0,2.0,4.19,0,0
operating,,,,,6.0,0,0
operating,,,,2.0,3.27,0,0
operating,,,1.0,3.0,5.75,0,0
operating,,,1.0,1.0,10.0,0,0
operating,,,,,7.0,0,0
operating,,,,,4.42,0,0
operating,,,,,7.0,0,0
operating,,,,3.0,6.87,0,0
operating,,,1.0,9.0,5.46,0,0
operating,,,,2.0,4.16,0,0
ipo,1.0,9200000.0,2.0,4.0,7.0,1,1
operating,1.0,12200000.0,1.0,2.0,7.0,0,0
operating,3.0,1925000.0,1.0,4.0,3.42,0,0
operating,2.0,24000000.0,,1.0,4.0,0,0
operating,6.0,13813171.0,,8.0,14.0,0,0
operating,1.0,10000000.0,,,7.0,0,0
operating,2.0,16000000.0,,4.0,4.0,0,0
operating,,,1.0,,3.21,0,0
operating,1.0,1000000.0,1.0,3.0,3.5,0,0
operating,1.0,1000000.0,,3.0,7.26,0,0
operating,4.0,3088581.0,2.0,26.0,3.98,0,0
operating,5.0,1510000.0,2.0,4.0,3.46,0,0
operating,,,,3.0,4.0,0,0
operating,,,,,3.4,0,0
operating,1.0,250000.0,1.0,2.0,3.97,0,0
acquired,2.0,250000.0,2.0,3.0,4.0,1,1
operating,,,,2.0,18.0,0,0
operating,,,,,7.0,0,0
operating,,,1.0,6.0,13.0,0,0
operating,2.0,1700000.0,1.0,7.0,5.56,0,0
operating,5.0,103700000.0,3.0,54.0,8.0,0,0
acquired,,,,3.0,7.0,1,1
operating,3.0,20999992.0,1.0,2.0,7.0,0,0
operating,,,,4.0,7.0,0,0
acquired,,,,1.0,7.0,1,1
acquired,,,,,7.0,1,1
operating,2.0,430000.0,,,7.0,0,0
operating,,,1.0,1.0,11.63,0,0
operating,,,1.0,3.0,7.0,0,0
operating,3.0,20575424.0,2.0,6.0,7.0,0,0
closed,1.0,500000.0,1.0,4.0,4.76,0,0
acquired,3.0,1830000.0,1.0,6.0,7.0,1,1
operating,,,,,4.12,0,0
operating,5.0,41290000.0,3.0,24.0,8.0,0,0
operating,,,,3.0,3.33,0,0
operating,1.0,1500000.0,2.0,3.0,4.0,0,0
operating,,,1.0,2.0,4.93,0,0
operating,,,,6.0,6.0,0,0
acquired,,,2.0,3.0,11.58,1,1
operating,2.0,10150000.0,,1.0,7.0,0,0
operating,,,,,7.0,0,0
operating,,,,,9.0,0,0
acquired,,,2.0,7.0,17.0,1,1
operating,,,,,7.89,0,0
operating,2.0,6000000.0,1.0,10.0,7.0,0,0
acquired,2.0,25000000.0,3.0,70.0,18.75,1,1
operating,,,,,3.33,0,0
operating,,,,,28.0,0,0
acquired,,,,1.0,14.0,1,1
acquired,,,1.0,3.0,7.0,1,1
operating,,,,2.0,7.33,0,0
operating,,,1.0,3.0,3.33,0,0
operating,,,1.0,4.0,3.25,0,0
operating,,,,,7.57,0,0
operating,1.0,10000.0,,1.0,8.38,0,0
operating,,,,1.0,16.0,0,0
operating,2.0,2612193.0,,,10.0,0,0
operating,,,1.0,3.0,7.0,0,0
operating,,,1.0,3.0,9.16,0,0
operating,,,,3.0,14.0,0,0
operating,,,2.0,1.0,5.28,0,0
operating,6.0,892000.0,2.0,5.0,3.36,0,0
operating,,,2.0,2.0,7.84,0,0
operating,,,2.0,3.0,4.79,0,0
operating,,,2.0,3.0,6.12,0,0
acquired,,,,1.0,7.0,1,1
acquired,,,1.0,10.0,19.0,1,1
operating,1.0,3000000.0,2.0,3.0,9.08,0,0
operating,,,1.0,4.0,6.0,0,0
operating,,,1.0,1.0,3.25,0,0
operating,,,,,3.33,0,0
operating,2.0,3000000.0,3.0,18.0,8.91,0,0
operating,,,,1.0,12.56,0,0
operating,,,1.0,1.0,3.25,0,0
acquired,1.0,5000000.0,1.0,3.0,15.0,1,1
operating,,,,,28.0,0,0
operating,,,,,7.0,0,0
operating,,,2.0,11.0,13.0,0,0
acquired,,,1.0,1.0,7.0,1,1
operating,,,1.0,5.0,3.3,0,0
operating,,,1.0,3.0,7.0,0,0
operating,,,,3.0,6.5,0,0
acquired,2.0,5163408.0,2.0,3.0,3.75,1,1
operating,,,1.0,2.0,12.21,0,0
operating,,,1.0,5.0,5.0,0,0
operating,3.0,350000.0,1.0,1.0,15.08,0,0
acquired,5.0,37000000.0,3.0,31.0,9.65,1,1
operating,1.0,25000000.0,2.0,9.0,8.0,0,0
closed,1.0,125000.0,1.0,5.0,2.58,0,0
operating,4.0,36100000.0,2.0,22.0,13.0,0,0
operating,,,,,4.0,0,0
operating,1.0,,1.0,3.0,3.84,0,0
operating,,,1.0,1.0,11.0,0,0
operating,,,1.0,4.0,3.33,0,0
operating,,,,,16.58,0,0
operating,,,1.0,2.0,16.0,0,0
operating,,,3.0,5.0,1.82,0,0
operating,2.0,55000000.0,1.0,6.0,4.0,0,0
operating,4.0,31572684.0,1.0,4.0,7.0,0,0
operating,,,2.0,,10.25,0,0
operating,,,1.0,5.0,7.0,0,0
operating,1.0,50000000.0,,,7.0,0,0
operating,,,1.0,3.0,7.0,0,0
closed,2.0,30150000.0,3.0,2.0,3.38,0,0
operating,3.0,41000000.0,2.0,8.0,6.0,0,0
operating,,,,,7.0,0,0
acquired,,,,,14.0,1,1
operating,1.0,140000.0,,1.0,4.87,0,0
operating,,,1.0,2.0,11.5,0,0
operating,,,1.0,4.0,3.97,0,0
acquired,,,,,3.28,1,1
closed,2.0,2000000.0,4.0,8.0,4.58,0,0
acquired,3.0,107225000.0,4.0,22.0,7.0,1,1
operating,,,1.0,1.0,4.74,0,0
operating,1.0,,1.0,7.0,4.58,0,0
operating,,,,,7.0,0,0
operating,3.0,3461000.0,,2.0,8.0,0,0
operating,,,2.0,3.0,4.67,0,0
operating,,,1.0,1.0,3.33,0,0
operating,2.0,30000000.0,,3.0,4.0,0,0
operating,,,,,8.95,0,0
operating,2.0,8300000.0,,2.0,6.0,0,0
operating,,,,,3.75,0,0
closed,1.0,50000000.0,3.0,9.0,7.0,0,0
acquired,,,,,7.0,1,1
operating,,,2.0,2.0,7.0,0,0
operating,1.0,,1.0,1.0,7.0,0,0
operating,,,,,6.58,0,0
operating,,,,2.0,3.74,0,0
operating,1.0,50000000.0,,,7.0,0,0
operating,3.0,6949073.0,,3.0,14.0,0,0
operating,1.0,40000000.0,,,7.0,0,0
operating,1.0,50000.0,1.0,1.0,9.06,0,0
operating,1.0,25000.0,3.0,5.0,6.46,0,0
operating,2.0,1500010.0,2.0,3.0,7.0,0,0
operating,,,2.0,22.0,8.42,0,0
operating,1.0,1500000.0,1.0,2.0,7.0,0,0
operating,1.0,,,1.0,3.34,0,0
operating,,,,2.0,7.0,0,0
operating,,,1.0,2.0,3.33,0,0
operating,,,,,5.0,0,0
operating,,,1.0,1.0,3.46,0,0
operating,,,,,4.28,0,0
acquired,,,,,24.0,1,1
closed,2.0,12800000.0,1.0,15.0,8.13,0,0
operating,4.0,5000000.0,3.0,4.0,3.67,0,0
operating,,,1.0,1.0,7.0,0,0
ipo,2.0,,3.0,12.0,7.0,1,1
operating,,,1.0,1.0,7.0,0,0
operating,,,1.0,1.0,4.5,0,0
closed,1.0,65000.0,,2.0,1.16,0,0
acquired,2.0,1500000.0,1.0,2.0,3.56,1,1
operating,2.0,1650000.0,,11.0,3.67,0,0
operating,,,1.0,2.0,18.63,0,0
operating,,,,1.0,7.0,0,0
operating,,,,2.0,13.58,0,0
operating,5.0,26876550.0,3.0,15.0,8.0,0,0
operating,2.0,24906813.0,3.0,28.0,17.0,0,0
operating,2.0,1048500.0,2.0,5.0,4.0,0,0
operating,1.0,6500000.0,1.0,9.0,11.0,0,0
operating,5.0,118237738.0,1.0,12.0,5.0,0,0
operating,3.0,1600000.0,2.0,12.0,4.0,0,0
operating,,,2.0,4.0,9.75,0,0
operating,,,1.0,3.0,13.0,0,0
operating,,,,5.0,11.75,0,0
operating,3.0,640000.0,,4.0,3.42,0,0
operating,,,,,7.0,0,0
operating,,,,2.0,22.0,0,0
operating,,,1.0,2.0,3.5,0,0
operating,2.0,9700000.0,2.0,8.0,2.75,0,0
operating,,,1.0,1.0,8.0,0,0
operating,,,2.0,2.0,7.0,0,0
operating,,,1.0,3.0,3.99,0,0
operating,,,,1.0,7.0,0,0
operating,,,,,9.22,0,0
operating,,,1.0,2.0,4.22,0,0
operating,,,1.0,4.0,4.08,0,0
operating,,,1.0,1.0,5.58,0,0
acquired,,,,1.0,16.0,1,1
operating,3.0,2620000.0,,2.0,5.0,0,0
operating,,,,,3.84,0,0
closed,1.0,,,,7.0,0,0
operating,1.0,15500000.0,1.0,,6.0,0,0
operating,,,1.0,1.0,19.0,0,0
operating,3.0,1570000.0,1.0,5.0,4.0,0,0
operating,,,1.0,5.0,14.58,0,0
operating,,,2.0,26.0,7.0,0,0
operating,,,1.0,1.0,2.25,0,0
acquired,1.0,510000.0,,2.0,7.0,1,1
operating,,,2.0,5.0,2.67,0,0
acquired,,,1.0,3.0,5.25,1,1
operating,,,,,7.97,0,0
operating,1.0,1000000.0,2.0,2.0,7.0,0,0
operating,2.0,1910000.0,3.0,5.0,4.08,0,0
operating,1.0,120000.0,1.0,4.0,3.5,0,0
operating,1.0,200000.0,1.0,4.0,3.39,0,0
operating,,,,,14.89,0,0
operating,4.0,3470389.0,,1.0,7.0,0,0
operating,6.0,28231937.0,3.0,4.0,8.25,0,0
operating,1.0,200000.0,,,7.0,0,0
operating,,,,,17.0,0,0
operating,,,,,7.0,0,0
operating,,,,1.0,18.0,0,0
operating,1.0,150000.0,,,7.0,0,0
operating,2.0,20304200.0,3.0,7.0,3.75,0,0
operating,2.0,1655000.0,2.0,5.0,3.0,0,0
operating,,,1.0,2.0,13.75,0,0
operating,,,,2.0,39.0,0,0
operating,,,1.0,2.0,12.0,0,0
operating,,,1.0,1.0,4.0,0,0
operating,,,1.0,2.0,3.67,0,0
operating,1.0,350000.0,2.0,3.0,7.0,0,0
operating,,,1.0,1.0,7.0,0,0
operating,,,,,5.0,0,0
operating,,,1.0,3.0,6.4,0,0
operating,2.0,2501250.0,3.0,4.0,4.25,0,0
operating,,,1.0,2.0,3.67,0,0
acquired,,,1.0,10.0,7.0,1,1
acquired,,,1.0,3.0,7.0,1,1
operating,,,,,6.21,0,0
operating,,,1.0,6.0,7.0,0,0
closed,2.0,1175000.0,1.0,2.0,3.5,0,0
operating,,,,,13.0,0,0
operating,,,,,3.18,0,0
operating,,,,,8.0,0,0
operating,,,,1.0,7.0,0,0
acquired,,,1.0,2.0,7.93,1,1
operating,,,,2.0,7.0,0,0
operating,,,,2.0,14.9,0,0
acquired,,,,,7.0,1,1
operating,,,,,7.0,0,0
operating,,,1.0,1.0,4.0,0,0
operating,,,1.0,1.0,3.0,0,0
operating,1.0,3000000.0,1.0,,7.0,0,0
operating,1.0,,,,7.0,0,0
acquired,,,3.0,3.0,10.0,1,1
operating,,,,2.0,6.81,0,0
acquired,,,1.0,2.0,5.16,1,1
operating,,,,2.0,7.0,0,0
operating,1.0,,1.0,3.0,7.0,0,0
operating,,,1.0,2.0,7.0,0,0
operating,1.0,40000.0,1.0,1.0,5.0,0,0
operating,,,1.0,1.0,3.22,0,0
operating,,,,1.0,10.58,0,0
operating,,,1.0,1.0,20.0,0,0
operating,1.0,400000.0,1.0,5.0,3.5,0,0
operating,,,1.0,,4.08,0,0
operating,3.0,40900000.0,3.0,12.0,7.0,0,0
operating,,,,1.0,3.84,0,0
operating,,,,2.0,7.0,0,0
operating,,,,,9.05,0,0
operating,,,,,7.0,0,0
operating,,,,1.0,7.0,0,0
operating,,,,,12.0,0,0
operating,,,1.0,,11.58,0,0
operating,,,1.0,3.0,3.84,0,0
operating,,,1.0,2.0,13.35,0,0
acquired,1.0,4000000.0,,4.0,7.0,1,1
operating,1.0,,,,7.0,0,0
operating,1.0,45000000.0,,,29.0,0,0
operating,,,1.0,2.0,3.57,0,0
operating,1.0,,,2.0,7.0,0,0
operating,,,,2.0,7.58,0,0
operating,,,,,7.0,0,0
operating,2.0,70000000.0,,1.0,7.0,0,0
operating,2.0,2000000.0,3.0,6.0,7.5,0,0
operating,,,,1.0,10.27,0,0
operating,,,1.0,3.0,16.0,0,0
operating,1.0,,2.0,3.0,3.2,0,0
operating,,,,1.0,7.0,0,0
operating,,,1.0,2.0,7.0,0,0
operating,2.0,3500000.0,3.0,4.0,4.0,0,0
operating,,,1.0,11.0,17.0,0,0
operating,,,1.0,3.0,7.0,0,0
operating,,,,,4.56,0,0
operating,,,,,18.12,0,0
operating,,,2.0,2.0,8.85,0,0
operating,,,1.0,1.0,3.33,0,0
operating,,,1.0,3.0,7.0,0,0
operating,2.0,12000000.0,2.0,11.0,7.91,0,0
operating,,,1.0,3.0,8.0,0,0
operating,,,,,3.67,0,0
operating,2.0,250000.0,3.0,2.0,4.0,0,0
operating,,,1.0,3.0,8.0,0,0
operating,,,,1.0,13.0,0,0
operating,,,2.0,1.0,111.0,0,0
operating,2.0,6525000.0,3.0,12.0,5.18,0,0
operating,,,,,3.5,0,0
operating,,,1.0,1.0,3.33,0,0
operating,,,1.0,2.0,3.58,0,0
operating,,,,,7.0,0,0
operating,,,1.0,1.0,7.0,0,0
acquired,3.0,18100000.0,4.0,7.0,12.0,1,1
acquired,4.0,78000000.0,3.0,37.0,6.0,1,1
operating,5.0,86400002.0,4.0,19.0,27.21,0,0
operating,,,2.0,4.0,14.0,0,0
operating,,,,,3.25,0,0
acquired,2.0,30500000.0,2.0,3.0,7.0,1,1
operating,,,1.0,1.0,5.33,0,0
operating,,,1.0,1.0,3.58,0,0
operating,,,1.0,1.0,10.67,0,0
operating,,,,,3.96,0,0
operating,1.0,,1.0,4.0,4.0,0,0
ipo,,,1.0,11.0,7.0,1,1
operating,1.0,250000.0,,1.0,7.0,0,0
operating,1.0,150000.0,,2.0,7.0,0,0
acquired,,,1.0,2.0,31.0,1,1
operating,4.0,123000000.0,1.0,4.0,9.58,0,0
operating,,,1.0,4.0,3.25,0,0
acquired,,,1.0,5.0,9.08,1,1
operating,,,,,7.16,0,0
operating,,,1.0,2.0,5.08,0,0
operating,1.0,1025000.0,1.0,1.0,6.42,0,0
acquired,4.0,13988210.0,3.0,9.0,9.0,1,1
operating,,,1.0,2.0,3.64,0,0
operating,,,2.0,40.0,113.0,0,0
operating,,,,1.0,4.16,0,0
operating,,,1.0,4.0,4.5,0,0
operating,7.0,482199900.0,2.0,12.0,3.75,0,0
operating,1.0,500000.0,,1.0,3.59,0,0
operating,,,1.0,3.0,3.75,0,0
operating,,,2.0,4.0,3.25,0,0
operating,,,2.0,3.0,3.42,0,0
operating,,,,2.0,6.16,0,0
operating,2.0,14050000.0,1.0,4.0,3.65,0,0
operating,1.0,1200000.0,1.0,,7.0,0,0
operating,,,,,3.25,0,0
operating,3.0,8500000.0,1.0,10.0,14.41,0,0
operating,,,1.0,5.0,7.0,0,0
closed,,,,2.0,9.0,0,0
operating,,,,,6.0,0,0
operating,,,,,26.0,0,0
operating,,,,,7.0,0,0
operating,,,1.0,7.0,3.67,0,0
operating,,,2.0,3.0,7.0,0,0
operating,2.0,5250000.0,1.0,10.0,7.0,0,0
ipo,2.0,97999999.0,1.0,8.0,7.0,1,1
operating,,,1.0,2.0,15.0,0,0
operating,,,,1.0,14.8,0,0
operating,1.0,2000000.0,2.0,4.0,3.89,0,0
closed,7.0,24300000.0,2.0,5.0,5.08,0,0
operating,,,2.0,5.0,5.16,0,0
acquired,,,,,17.0,1,1
closed,1.0,1500000.0,,3.0,1.25,0,0
operating,,,,2.0,7.0,0,0
operating,,,1.0,1.0,7.58,0,0
operating,1.0,2100000.0,1.0,1.0,17.0,0,0
operating,,,1.0,2.0,8.5,0,0
operating,,,1.0,1.0,9.0,0,0
acquired,4.0,42500000.0,1.0,18.0,10.0,1,1
operating,,,1.0,2.0,12.0,0,0
closed,,,1.0,1.0,0.15,0,0
operating,,,1.0,1.0,7.0,0,0
operating,2.0,,1.0,4.0,7.0,0,0
operating,2.0,800000.0,,1.0,7.0,0,0
operating,1.0,3300000.0,,1.0,7.0,0,0
operating,,,,3.0,3.59,0,0
operating,2.0,10400000.0,2.0,5.0,11.0,0,0
operating,1.0,15000.0,,1.0,6.22,0,0
operating,,,1.0,2.0,16.0,0,0
operating,,,,,7.0,0,0
operating,2.0,6000000.0,2.0,8.0,5.0,0,0
operating,,,,,7.0,0,0
operating,,,,,7.0,0,0
operating,1.0,250000.0,1.0,5.0,19.0,0,0
operating,,,1.0,1.0,3.25,0,0
operating,5.0,4867114.0,,3.0,7.0,0,0
operating,1.0,7000000.0,,,7.0,0,0
operating,,,,2.0,5.43,0,0
operating,,,2.0,5.0,5.0,0,0
operating,,,,,23.33,0,0
operating,1.0,250000.0,1.0,1.0,3.5,0,0
operating,,,1.0,,15.0,0,0
operating,,,2.0,2.0,13.0,0,0
operating,1.0,,,,7.0,0,0
operating,,,1.0,2.0,4.62,0,0
operating,,,,,35.0,0,0
operating,1.0,20000.0,2.0,8.0,3.5,0,0
operating,,,1.0,3.0,15.0,0,0
acquired,,,,2.0,6.5,1,1
operating,3.0,10333224.0,1.0,3.0,9.0,0,0
operating,,,1.0,2.0,7.0,0,0
operating,,,,3.0,7.0,0,0
operating,2.0,1000000.0,2.0,5.0,3.84,0,0
ipo,,,,1.0,7.0,1,1
acquired,,,,,7.0,1,1
operating,3.0,10338000.0,3.0,21.0,8.33,0,0
operating,,,,1.0,8.0,0,0
operating,,,,6.0,7.0,0,0
operating,,,1.0,5.0,3.42,0,0
operating,,,,1.0,11.52,0,0
operating,,,,1.0,7.0,0,0
operating,,,1.0,2.0,5.42,0,0
operating,,,1.0,2.0,3.33,0,0
operating,1.0,,,4.0,3.67,0,0
operating,1.0,1400100.0,2.0,1.0,4.0,0,0
operating,1.0,1000000.0,2.0,14.0,3.5,0,0
operating,,,1.0,1.0,3.42,0,0
