funding_rounds,funding_total_usd,milestones,relationships,success_binary
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,1.0,5.0,0
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,4.0,0
0.0,0.0,1.0,2.0,0
2.0,155000.0,1.0,0.0,0
0.0,0.0,2.0,3.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,4.0,16.0,1
4.0,1682618.0,1.0,7.0,0
0.0,0.0,0.0,2.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,1.0,1.0,0
0.0,0.0,0.0,2.0,1
1.0,1616176.0,1.0,2.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,1.0,0
4.0,29540000.0,3.0,15.0,0
1.0,50000.0,0.0,2.0,0
0.0,0.0,0.0,1.0,0
3.0,2475000.0,1.0,2.0,0
7.0,60000000.0,5.0,29.0,0
0.0,0.0,0.0,3.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,1.0,4.0,0
0.0,0.0,2.0,0.0,0
2.0,13250000.0,4.0,4.0,1
0.0,0.0,0.0,0.0,1
1.0,509412.0,1.0,3.0,1
0.0,0.0,2.0,0.0,0
0.0,0.0,0.0,0.0,0
2.0,12100000.0,1.0,10.0,0
4.0,25830908.0,1.0,10.0,0
0.0,0.0,0.0,1.0,1
1.0,0.0,2.0,5.0,0
0.0,0.0,1.0,2.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
1.0,0.0,2.0,3.0,0
0.0,0.0,2.0,4.0,0
1.0,1700000.0,2.0,7.0,0
0.0,0.0,1.0,2.0,0
0.0,0.0,0.0,0.0,0
4.0,19500000.0,2.0,5.0,0
0.0,0.0,1.0,1.0,0
0.0,0.0,0.0,3.0,0
0.0,0.0,0.0,0.0,1
1.0,50000.0,0.0,5.0,0
1.0,50000.0,2.0,2.0,0
0.0,0.0,1.0,6.0,0
0.0,0.0,1.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,4.0,1
0.0,0.0,0.0,0.0,1
0.0,0.0,1.0,2.0,0
0.0,0.0,2.0,4.0,0
1.0,0.0,0.0,8.0,1
0.0,0.0,1.0,14.0,0
1.0,18664050.0,0.0,2.0,1
0.0,0.0,1.0,5.0,1
2.0,4000000.0,1.0,6.0,1
0.0,0.0,1.0,1.0,0
1.0,8700000.0,2.0,5.0,0
3.0,11510000.0,4.0,6.0,0
0.0,0.0,0.0,2.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,2.0,0
1.0,0.0,0.0,3.0,1
0.0,0.0,0.0,2.0,1
3.0,9650000.0,4.0,13.0,1
1.0,8000000.0,0.0,12.0,1
1.0,0.0,0.0,4.0,0
1.0,4000000.0,1.0,5.0,1
0.0,0.0,1.0,3.0,1
8.0,116400000.0,3.0,24.0,1
0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,1.0,0
0.0,0.0,0.0,0.0,1
1.0,1200000.0,1.0,3.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,2.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,3.0,1
0.0,0.0,1.0,2.0,0
0.0,0.0,1.0,3.0,1
2.0,3915000.0,2.0,9.0,1
0.0,0.0,3.0,5.0,1
0.0,0.0,0.0,1.0,1
0.0,0.0,1.0,10.0,1
0.0,0.0,1.0,3.0,0
0.0,0.0,2.0,20.0,1
1.0,1200000.0,2.0,2.0,0
1.0,15000.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0
1.0,1500000.0,1.0,3.0,0
1.0,7000000.0,0.0,5.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,2.0,1.0,0
2.0,12120000.0,0.0,1.0,0
1.0,13000000.0,1.0,1.0,0
2.0,42800000.0,2.0,2.0,0
1.0,2000000.0,0.0,1.0,0
0.0,0.0,0.0,5.0,0
0.0,0.0,1.0,3.0,0
0.0,0.0,1.0,2.0,1
0.0,0.0,2.0,0.0,1
0.0,0.0,1.0,1.0,0
1.0,250000.0,0.0,4.0,1
0.0,0.0,0.0,1.0,1
0.0,0.0,3.0,2.0,0
1.0,100000.0,0.0,0.0,0
1.0,100000.0,2.0,66.0,1
0.0,0.0,0.0,0.0,0
1.0,2454.0,1.0,3.0,0
0.0,0.0,1.0,17.0,0
0.0,0.0,1.0,3.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,5.0,1
1.0,650000.0,3.0,3.0,0
2.0,10600000.0,3.0,6.0,1
0.0,0.0,2.0,3.0,0
1.0,7843200.0,2.0,3.0,1
0.0,0.0,1.0,4.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,3.0,0
0.0,0.0,1.0,8.0,1
0.0,0.0,0.0,3.0,0
0.0,0.0,0.0,18.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,5.0,1
1.0,200000.0,1.0,3.0,0
1.0,4000000.0,2.0,4.0,0
0.0,0.0,2.0,6.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,1
1.0,2300000.0,0.0,0.0,0
3.0,5200000.0,0.0,4.0,0
0.0,0.0,0.0,0.0,1
2.0,3500000.0,4.0,15.0,1
0.0,0.0,0.0,3.0,0
0.0,0.0,0.0,0.0,0
1.0,0.0,0.0,4.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,7.0,1
0.0,0.0,0.0,2.0,1
0.0,0.0,1.0,1.0,0
3.0,16030566.0,0.0,7.0,1
6.0,53816776.0,0.0,8.0,1
0.0,0.0,0.0,2.0,1
0.0,0.0,0.0,0.0,1
0.0,0.0,1.0,2.0,1
0.0,0.0,0.0,2.0,0
0.0,0.0,1.0,1.0,1
0.0,0.0,0.0,8.0,1
3.0,11000000.0,3.0,22.0,0
1.0,4000000.0,1.0,5.0,0
0.0,0.0,2.0,2.0,0
0.0,0.0,1.0,4.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,1.0,6.0,0
1.0,160000.0,0.0,3.0,0
1.0,500000.0,1.0,1.0,0
0.0,0.0,1.0,2.0,0
0.0,0.0,2.0,7.0,1
1.0,48501.0,2.0,7.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,1.0,0
2.0,22600000.0,1.0,4.0,1
0.0,0.0,2.0,1.0,1
1.0,100000.0,0.0,5.0,1
0.0,0.0,1.0,4.0,0
3.0,14000000.0,4.0,11.0,1
2.0,2365000.0,0.0,1.0,0
3.0,1008401.0,4.0,6.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,2.0,0
0.0,0.0,1.0,0.0,0
2.0,5806037.0,0.0,1.0,0
2.0,100000.0,1.0,3.0,0
0.0,0.0,1.0,2.0,1
6.0,67650000.0,2.0,31.0,0
0.0,0.0,1.0,2.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,1.0,0
1.0,0.0,0.0,2.0,0
0.0,0.0,0.0,3.0,0
0.0,0.0,1.0,1.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,1.0,0
2.0,42000000.0,1.0,12.0,0
1.0,10000000.0,1.0,7.0,0
1.0,7500000.0,1.0,4.0,0
0.0,0.0,1.0,1.0,0
1.0,500000.0,1.0,6.0,1
0.0,0.0,0.0,1.0,1
1.0,7500000.0,0.0,1.0,0
1.0,22500000.0,0.0,0.0,0
3.0,22100000.0,3.0,17.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,1.0,3.0,0
0.0,0.0,1.0,37.0,1
0.0,0.0,0.0,4.0,1
0.0,0.0,0.0,2.0,1
3.0,11298100.0,3.0,19.0,1
0.0,0.0,0.0,2.0,0
0.0,0.0,1.0,4.0,0
3.0,15500000.0,0.0,3.0,1
3.0,6865000.0,2.0,9.0,0
4.0,23326001.0,1.0,8.0,0
2.0,6545000.0,2.0,6.0,0
1.0,100000.0,1.0,2.0,0
0.0,0.0,2.0,20.0,0
0.0,0.0,0.0,4.0,0
0.0,0.0,2.0,2.0,0
0.0,0.0,0.0,0.0,0
1.0,6000000.0,1.0,2.0,0
1.0,4000000.0,3.0,15.0,1
0.0,0.0,0.0,0.0,0
3.0,26000006.0,2.0,3.0,1
0.0,0.0,1.0,1.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,1.0,3.0,0
0.0,0.0,2.0,3.0,0
1.0,700000.0,1.0,2.0,0
0.0,0.0,3.0,1.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,1.0,0.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,5.0,0
5.0,53350000.0,5.0,20.0,1
0.0,0.0,3.0,1.0,0
0.0,0.0,3.0,6.0,0
0.0,0.0,4.0,21.0,1
3.0,40000000.0,1.0,1.0,0
1.0,500000.0,0.0,3.0,1
0.0,0.0,2.0,4.0,0
3.0,10500000.0,3.0,8.0,0
1.0,250000.0,1.0,3.0,0
1.0,4200000.0,3.0,17.0,1
1.0,2350000.0,0.0,1.0,1
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,2.0,1
0.0,0.0,1.0,1.0,0
6.0,160549892.0,3.0,41.0,0
0.0,0.0,0.0,3.0,0
1.0,3500000.0,0.0,0.0,1
1.0,0.0,0.0,2.0,0
0.0,0.0,0.0,2.0,0
0.0,0.0,1.0,1.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,1.0,5.0,0
0.0,0.0,0.0,2.0,1
8.0,72900000.0,4.0,28.0,1
1.0,2000000.0,0.0,2.0,0
0.0,0.0,4.0,1.0,0
0.0,0.0,0.0,2.0,0
0.0,0.0,2.0,3.0,0
1.0,5000.0,1.0,3.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,1.0,1.0,0
0.0,0.0,2.0,8.0,1
0.0,0.0,1.0,1.0,0
0.0,0.0,2.0,0.0,0
0.0,0.0,0.0,3.0,0
1.0,200000.0,1.0,3.0,0
2.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,2.0,2.0,0
0.0,0.0,0.0,127.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,1.0,0
1.0,0.0,1.0,3.0,0
4.0,17807000.0,0.0,26.0,1
1.0,0.0,0.0,11.0,0
0.0,0.0,1.0,2.0,0
0.0,0.0,1.0,12.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,1.0,2.0,1
1.0,8600000.0,1.0,5.0,1
1.0,0.0,1.0,2.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,2.0,0
0.0,0.0,1.0,4.0,0
1.0,2550000.0,0.0,4.0,1
0.0,0.0,1.0,3.0,1
0.0,0.0,1.0,4.0,0
0.0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
2.0,14000000.0,4.0,17.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,2.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
4.0,25000000.0,3.0,7.0,1
2.0,35800000.0,4.0,26.0,1
1.0,2000000.0,2.0,10.0,0
5.0,16330000.0,1.0,14.0,1
10.0,252303692.0,3.0,42.0,1
6.0,73870000.0,1.0,17.0,0
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
3.0,333200000.0,5.0,38.0,1
0.0,0.0,0.0,1.0,1
0.0,0.0,1.0,4.0,0
2.0,9197854.0,2.0,7.0,0
0.0,0.0,2.0,14.0,1
